week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,1979 ,11,925 ,0.467407782,2270 ,2/11/2021,283 ,0.305945946,657 ,7/15/2020,2
2,4990 ,71,1768 ,0.354308617,3479 ,1/26/2021,332 ,0.187782805,635 ,10/15/2019,13
3,4968 ,40,1658 ,0.33373591,2895 ,2/10/2021,196 ,0.118214717,412 ,1/11/2020,7
4,4960 ,2,1568 ,0.316129032,2907 ,2/12/2021,237 ,0.151147959,579 ,3/17/2020,6
5,4879 ,72,1465 ,0.300266448,2729 ,11/15/2020,211 ,0.144027304,536 ,5/12/2020,9
6,4866 ,37,1362 ,0.279901356,2387 ,1/12/2021,135 ,0.099118943,263 ,1/5/2020,7
7,4856 ,3,1426 ,0.293657331,2617 ,2/12/2021,211 ,0.147966339,477 ,12/30/2019,3
8,4842 ,3,1433 ,0.295952086,2581 ,2/28/2021,224 ,0.156315422,488 ,3/31/2020,1
9,4836 ,1,1335 ,0.276054591,2192 ,1/12/2021,149 ,0.111610487,282 ,11/2/2020,2
10,4831 ,2,1311 ,0.271372387,2201 ,1/3/2021,135 ,0.102974828,279 ,10/27/2020,4
