week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,5679,3,1858,0.327170276,3142,9/5/21 3:32PM,88,0.047362756,192,4/22/21 11:07PM,5
2,5670,3,1714,0.302292769,2842,9/5/21 3:32PM,67,0.039089848,116,5/15/21 5:12PM,6
3,5659,2,1692,0.298992755,2653,9/9/21 4:31AM,73,0.043144208,138,8/19/21 8:41AM,3
4,5653,2,1626,0.287634884,2536,9/6/21 7:52PM,65,0.0399754,113,5/6/21 10:40PM,2
5,5650,4,1660,0.29380531,2717,9/4/21 3:41PM,49,0.029518072,76,5/26/21 11:37PM,6
6,5637,1,1648,0.292354089,2589,9/4/21 3:39PM,57,0.034587379,116,8/9/21 10:40AM,4
7,5627,24,1613,0.286653634,2488,9/7/21 5:33PM,49,0.030378177,106,6/11/21 7:13PM,5
8,5602,82,1630,0.290967512,2637,9/5/21 3:20PM,41,0.025153374,81,6/5/21 5:55PM,6
9,5528,19,1626,0.294138929,2646,9/8/21 12:09PM,43,0.026445264,81,9/8/21 12:10PM,6
10,5504,6,1594,0.289607558,2670,9/2/21 1:55PM,39,0.02446675,75,7/1/21 3:26PM,8
