week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,5894,13,2158,0.366135053,3953,44372,159,0.073679333,336,44319,13
2,5866,9,1989,0.339072622,3530,44368,103,0.051784816,205,3/23/21 10:30AM,13
3,5840,23,1937,0.331678082,3461,44368,117,0.060402685,223,44262,6
4,5813,55,1755,0.301909513,3403,44368,103,0.058689459,177,44235,7
5,5758,21,1673,0.290552275,3127,44368,98,0.058577406,152,44331,4
6,5735,16,1815,0.316477768,2992,44361,100,0.055096419,180,44286,5
7,5715,4,1790,0.313210849,3124,44368,91,0.050837989,199,44262,5
8,5705,1,2717,0.476248904,3995,44368,73,0.026867869,129,44284,3
9,5699,1,1725,0.302684682,2888,44368,97,0.056231884,189,44281,6
10,5690,1,1730,0.304042179,2788,44368,63,0.036416185,110,44280,9
