week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,5843,11,2101,0.35957556049974326,3886,2022-04-14,159,0.07567824845311756,367,2022-03-23,8
2,5822,9,2009,0.34507042253521125,3167,2022-04-13,102,0.0507715281234445,199,2022-02-18,7
3,5806,8,1974,0.339993110575267,3167,2022-04-17,74,0.037487335359675786,142,2022-02-21,3
4,5794,19,1943,0.3353469105971695,3082,2022-04-15,76,0.0391147709727226,136,2022-04-09,2
5,5776,37,2108,0.3649584487534626,3275,2022-04-13,89,0.04222011385199241,184,2022-04-08,2
6,5733,17,2112,0.3683935112506541,3154,2022-04-11,82,0.038825757575757576,110,2022-04-11,6
7,3488,7,1515,0.43434633027522934,2316,2022-04-12,64,0.042244224422442245,127,2022-03-01,1
8,3483,4,1549,0.444731553258685,2287,2022-04-14,79,0.051000645577792124,139,2022-03-06,2
9,3479,2,1597,0.45903995400977293,2495,2022-04-16,66,0.041327489041953665,122,2022-04-06,3
10,3475,2,1640,0.4719424460431655,2462,2022-04-17,87,0.05304878048780488,176,2022-04-13,2
