week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,5445,8,2981,0.547474747,7312,1/19/2021,592,0.198591077,"1,411",1/1/2021,5
2,5433,7,2653,0.488312166,5656,1/19/2021,340,0.128156804,702,12/4/2020,2
3,5425,8,2394,0.441290323,4866,1/19/2021,208,0.086883876,407,1/1/2021,2
4,5418,17,2311,0.426541159,4627,1/19/2021,247,0.106880138,483,1/8/2021,3
5,5399,39,2285,0.423226523,4596,1/19/2021,211,0.092341357,424,1/6/2021,4
6,5362,92,2250,0.419619545,4419,1/17/2021,196,0.087111111,343,1/1/2021,1
7,5282,27,2204,0.417266187,4202,1/17/2021,186,0.084392015,376,1/7/2021,0
8,5256,5,2189,0.416476408,4287,1/19/2021,170,0.077661032,376,1/1/2021,1
9,5252,4,2188,0.416603199,4802,1/17/2021,194,0.088665448,383,1/6/2021,1
10,5248,7,2197,0.418635671,4767,1/19/2021,191,0.086936732,402,1/8/2021,0
