week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,5042,1,1986,0.393891313,3978,9/12/2021,143,0.072004028,337,4/25/2021,3
2,5039,0,1864,0.369914666,3422,9/16/2021,114,0.061158798,227,4/15/2021,2
3,5038,0,1878,0.372766971,3732,9/20/2021,115,0.061235357,297,8/5/2021,4
4,5033,0,1957,0.388833698,3956,9/21/2021,287,0.14665304,416,9/2/2021,0
5,5033,0,1805,0.358633022,3224,9/21/2021,101,0.055955679,174,5/3/2021,1
6,5032,0,1739,0.345588235,3012,9/22/2021,96,0.05520414,141,5/19/2021,1
7,5031,0,1745,0.346849533,3220,9/17/2021,129,0.073925501,226,8/30/2021,1
8,5030,2,1786,0.355069583,3223,9/19/2021,97,0.05431131,193,5/26/2021,2
9,5025,0,1752,0.348656716,3230,9/23/2021,98,0.055936073,207,9/8/2021,0
10,5024,0,1777,0.353702229,3262,9/22/2021,82,0.046145189,187,9/15/2021,0
