week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,5160,78,2467,0.478100775,6216,9/5/21 3:59PM,305,0.123631942,658,7/2/21 6:10PM,4
2,5083,7,2229,0.438520559,4511,9/5/21 3:33PM,191,0.08568865,347,6/3/21 12:37PM,3
3,5073,20,2108,0.415533215,4302,9/2/21 1:15AM,202,0.095825427,347,3/22/21 2:04PM,2
4,5056,3,2103,0.415941456,4126,9/6/21 11:35AM,181,0.086067523,367,3/25/21 5:55PM,2
5,5052,1,2022,0.40023753,3772,9/5/21 7:34PM,119,0.058852621,231,6/29/21 10:52AM,2
6,5052,2,1899,0.375890736,3909,9/5/21 3:31PM,148,0.077935756,295,3/29/21 11:40PM,2
7,5051,3,1959,0.387843991,3757,9/4/21 3:48PM,199,0.10158244,415,5/28/21 6:31PM,3
8,5049,1,2016,0.399286988,3827,9/6/21 11:35AM,193,0.095734127,330,9/1/21 9:49AM,2
9,5047,1,1921,0.380622152,3732,9/5/21 7:27PM,166,0.086413326,359,9/8/21 10:15PM,2
10,5046,1,1907,0.377923107,3567,9/8/21 8:56AM,139,0.072889355,266,7/1/21 9:57AM,2
