week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,7179,1,2322,0.323443377,4033,9/5/2021,137,0.059000861,295,5/17/2021,5
2,7170,2,2191,0.305578801,3558,9/5/2021,108,0.04929256,183,4/16/2021,11
3,7156,1,4089,0.571408608,5920,9/5/2021,123,0.030080704,206,5/15/2021,6
4,7147,0,3074,0.430110536,4566,9/5/2021,149,0.048471047,268,5/2/2021,6
5,7140,1,3439,0.481652661,4890,9/7/2021,100,0.02907822,180,5/18/2021,5
6,7127,1,2057,0.288620738,3222,8/28/2021,88,0.042780749,200,6/8/2021,13
7,7116,34,2120,0.29792018,3417,9/6/2021,94,0.044339623,177,8/10/2021,7
8,7082,51,2061,0.291019486,3246,9/6/2021,76,0.036875303,122,6/5/2021,6
9,7043,23,1977,0.280704245,3348,9/7/2021,63,0.031866464,107,7/4/2021,6
10,7014,4,3070,0.437696036,4418,9/6/2021,58,0.018892508,89,7/6/2021,5
