Email Campaign Report
"Title:","BEAM BLAST Frosh/Soph Spring '22 Week 3"
"Subject Line:","The BEAM Blast: A Careers Newsletter, Spring, Week 3"
"Delivery Date/Time:","Sun, Apr 10, 2022 7:00 pm"

"Overall Stats"
"Total Recipients:","3,184"
"Successful Deliveries:","3,184"
"Bounces:","0 (0.0%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","1,370 (43.0%)"
"Total Opens:","2,169"
"Last Open Date:","4/15/22 6:01PM"
"Recipients Who Clicked:","98 (3.1%)"
"Total Clicks:","191"
"Last Click Date:","4/15/22 1:00PM"
"Total Unsubs:","1"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://app.joinhandshake.com/stu/career_fairs/31179?ref=events-search","54","42"
"https://app.joinhandshake.com/stu/career_fairs/30893?ref=events-search","19","18"
"https://stanford.joinhandshake.com/stu/events/935780","13","10"
"https://bit.ly/BEAMinterestform","10","10"
"https://med.stanford.edu/anatomy/education/clinical-anatomy-pre-health-initiative.html","8","7"
"https://app.joinhandshake.com/edu/events/1012032","7","7"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=953&job.industries%5B%5D=1050&job.industries%5B%5D=1100&school_years%5B%5D=1&school_years%5B%5D=2","6","5"
"https://stanford.joinhandshake.com/stu/events/1013313","6","3"
"https://www.usajobs.gov/job/646660000","6","5"
"https://www.goldmansachs.com/careers/students/programs/americas/emerging-leaders-series.html","5","5"
"https://stanford.joinhandshake.com/stu/events/1022878","5","5"
"https://stanford.joinhandshake.com/stu/events/1008629?ref=events-search","5","4"
"https://stanford.joinhandshake.com/stu/events/1009102","5","3"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1023&job.industries%5B%5D=1029&school_years%5B%5D=1&school_years%5B%5D=2","4","4"
"https://app.joinhandshake.com/stu/articles/14057","4","2"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1032&school_years%5B%5D=1&school_years%5B%5D=2&status%5B%5D=approved","4","4"
