Email Campaign Report
"Title:","BEAM BLAST H&S Week 1 Autumn '21"
"Subject Line:","The BEAM Blast, A Careers Newsletter Autumn Week 1"
"Delivery Date/Time:","Sun, Sep 19, 2021 7:00 pm"

"Overall Stats"
"Total Recipients:","9,975"
"Successful Deliveries:","9,962"
"Bounces:","13 (0.1%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","3,948 (39.6%)"
"Total Opens:","6,739"
"Last Open Date:","4/12/22 11:44AM"
"Recipients Who Clicked:","267 (2.7%)"
"Total Clicks:","582"
"Last Click Date:","11/14/21 2:12PM"
"Total Unsubs:","18"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://app.joinhandshake.com/career_fairs/25607","100","85"
"https://beam.stanford.edu/fallfair","62","49"
"https://app.joinhandshake.com/career_fairs/26552","61","57"
"https://app.joinhandshake.com/career_fairs/26551","59","49"
"https://app.joinhandshake.com/events/837896","38","29"
"https://joinhandshake.com/blog/students/tag/virtual-career-fairs/","30","29"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1023&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2","22","19"
"https://app.joinhandshake.com/events/840261","21","18"
"https://app.joinhandshake.com/appointments/new","15","10"
"https://stanford.joinhandshake.com/events/763963","14","12"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1046&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","14","12"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1032&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","13","12"
