Email Campaign Report
"Title:","BEAM BLAST H&S Week, Spring '22, Week 3"
"Subject Line:","The BEAM Blast: A Careers Newsletter, Spring, Week 3"
"Delivery Date/Time:","Sun, Apr 10, 2022 7:00 pm"

"Overall Stats"
"Total Recipients:","3,044"
"Successful Deliveries:","3,043"
"Bounces:","1 (0.0%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","1,321 (43.4%)"
"Total Opens:","1,971"
"Last Open Date:","4/15/22 5:49PM"
"Recipients Who Clicked:","56 (1.8%)"
"Total Clicks:","80"
"Last Click Date:","4/15/22 4:26PM"
"Total Unsubs:","2"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://app.joinhandshake.com/stu/career_fairs/31179?ref=events-search","20","20"
"https://app.joinhandshake.com/stu/career_fairs/30893?ref=events-search","7","6"
"https://www.instagram.com/stanfordbeam/","6","1"
"https://bit.ly/BEAMinterestform","6","6"
"https://www.usajobs.gov/job/646660000","5","5"
"https://stanford.joinhandshake.com/stu/events/1008629?ref=events-search","4","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1032&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","4","4"
"https://stanford.joinhandshake.com/stu/events/1022878","3","3"
"https://stanford.joinhandshake.com/stu/events/1009102","3","2"
"https://www.goldmansachs.com/careers/students/programs/americas/emerging-leaders-series.html","2","2"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1025&job.industries%5B%5D=1068&job.industries%5B%5D=1027&job.industries%5B%5D=1061&job.industries%5B%5D=1058&job.industries%5B%5D=1024&job.industries%5B%5D=1052&job.industries%5B%5D=906&job_type_names%5B%5D=Job&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2","2","2"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1047&job.industries%5B%5D=1040&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2","2","2"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1032&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","2","2"
"https://www.themuse.com/advice/everything-would-be-different-change-career-path-definition","1","1"
"https://support.joinhandshake.com/hc/en-us/articles/360049934274-Handshake-s-Guide-to-Attending-a-Virtual-Fair?_ga=2.84827227.331413586.1649261878-577093224.1648420870","1","1"
"https://stanford.joinhandshake.com/events/1019525/share_preview","1","1"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1044&job.industries%5B%5D=1031&job.industries%5B%5D=874&job.industries%5B%5D=1096&job_type_names%5B%5D=Job&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=2&school_years%5B%5D=5","1","1"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1025&job.industries%5B%5D=1068&job.industries%5B%5D=1027&job.industries%5B%5D=1061&job.industries%5B%5D=1058&job.industries%5B%5D=1024&job.industries%5B%5D=1052&job.industries%5B%5D=906&job_type_names%5B%5D=Internship&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2","1","1"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1023&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=4","1","1"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=953&job_type_names%5B%5D=Job&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","1","1"
