Email Campaign Report
"Title:","BEAM BLAST H&S Week, Week 4, Winter 2022"
"Subject Line:","The BEAM Blast, A Careers Newsletter Winter, Week 4"
"Delivery Date/Time:","Sun, Jan 23, 2022 7:00 pm"

"Overall Stats"
"Total Recipients:","8,962"
"Successful Deliveries:","8,931"
"Bounces:","31 (0.3%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","3,209 (35.9%)"
"Total Opens:","5,116"
"Last Open Date:","4/15/22 3:23PM"
"Recipients Who Clicked:","117 (1.3%)"
"Total Clicks:","222"
"Last Click Date:","3/30/22 10:11PM"
"Total Unsubs:","4"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://app.joinhandshake.com/stu/career_fairs/28626?ref=events-search","28","25"
"https://www.signupgenius.com/go/10c0449ada72ba5ff2-resume1","27","20"
"https://beam.stanford.edu/beamfellows","15","13"
"https://stanford.joinhandshake.com/edu/events/931432","11","6"
"https://app.joinhandshake.com/stu/events/921254","10","6"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1032&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","8","7"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1047&job.industries%5B%5D=1040&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2","7","6"
"https://app.joinhandshake.com/stu/events/918382","7","5"
"https://events.stanford.edu/events/657/65701/","7","7"
"https://stanford.joinhandshake.com/stu/jobs/5801533?ref=open-in-new-tab&search_id=75ed4025-0d1e-460d-8087-be93f5379c48","6","6"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1032&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","6","6"
"https://beam.stanford.edu/ba-ma#hs","5","4"
"https://app.joinhandshake.com/stu/events/911613","5","5"
"https://app.joinhandshake.com/stu/events/925371","5","2"
"https://stanford.joinhandshake.com/stu/jobs/5721738?ref=preview-header-click","4","2"
"https://stanford.joinhandshake.com/stu/jobs/5293888?ref=preview-header-click","4","4"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1044&job.industries%5B%5D=1031&job.industries%5B%5D=874&job.industries%5B%5D=1096&job_type_names%5B%5D=Job&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=2&school_years%5B%5D=5","4","4"
"https://app.joinhandshake.com/stu/events/918173","4","4"
"https://beam.stanford.edu/newsletters","4","2"
"https://med.stanford.edu/mchri/programs/diversity/drive.html","3","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=953&job_type_names%5B%5D=Job&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","3","3"
"https://stanford.joinhandshake.com/stu/career_fairs/28626?ref=events-search","3","3"
"https://stanford.joinhandshake.com/edu/postings?page=1&per_page=100&sort_direction=desc&sort_column=default&status%5B%5D=approved&job_type_names%5B%5D=Job&job.industries%5B%5D=978&job.industries%5B%5D=1029&school_years%5B%5D=2&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=4","3","2"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=953&job_type_names%5B%5D=Internship&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2","3","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=false&job.industries%5B%5D=1054&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","3","3"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1055&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","3","2"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1044&job.industries%5B%5D=1031&job.industries%5B%5D=874&job.industries%5B%5D=1096&job_type_names%5B%5D=Internship&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=2&school_years%5B%5D=5","3","3"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1025&job.industries%5B%5D=1068&job.industries%5B%5D=1027&job.industries%5B%5D=1061&job.industries%5B%5D=1058&job.industries%5B%5D=1024&job.industries%5B%5D=1052&job.industries%5B%5D=906&job_type_names%5B%5D=Job&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2","3","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1046&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3","3","3"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1023&job_type_names%5B%5D=Job&job_type_names%5B%5D=Fellowship&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=4","3","3"
"https://canvas.stanford.edu/enroll/9GRWHR","2","2"
"https://stanford.joinhandshake.com","2","2"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1025&job.industries%5B%5D=1068&job.industries%5B%5D=1027&job.industries%5B%5D=1061&job.industries%5B%5D=1058&job.industries%5B%5D=1024&job.industries%5B%5D=1052&job.industries%5B%5D=906&job_type_names%5B%5D=Internship&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2","2","2"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1055&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","2","2"
"https://beam.stanford.edu/make-an-appointment","2","2"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1046&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","2","2"
"https://arts.stanford.edu/newsletter/","2","2"
"https://beam.stanford.edu","2","2"
"https://stanford.joinhandshake.com/stu/jobs/5831265?ref=preview-header-click","1","1"
"https://beam.stanford.edu/resources/flex-quarter-opportunities","1","1"
"https://canvas.stanford.edu/courses/145667/pages/tips-for-navigating-career-fairs?module_item_id=1083368","1","1"
"https://stanford.joinhandshake.com/edu/postings?page=1&per_page=100&sort_direction=desc&sort_column=default&status%5B%5D=approved&job_type_names%5B%5D=Internship&job.industries%5B%5D=978&job.industries%5B%5D=1029&school_years%5B%5D=2&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=4","1","1"
"https://app.joinhandshake.com/stu/events/941901","1","1"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1054&job_type_names%5B%5D=Job&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","1","1"
"https://stanford.joinhandshake.com/events?ajax=true&query=&category=UniversityManageEvents&page=1&per_page=25&sort_direction=desc&sort_column=relevancy&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=false","0","0"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1023&job_type_names%5B%5D=Internship&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2","0","0"
"https://beam.stanford.edu/","0","0"
"https://stanford.us1.list-manage.com/subscribe?u=a77525a849b0888cf8d90460f&id=807864fbe3","0","0"
"https://twitter.com/stanfordbeam/","0","0"
"https://www.facebook.com/StanfordBEAM/","0","0"
"https://www.instagram.com/stanfordbeam/","0","0"
"https://www.linkedin.com/company/stanfordbeam/","0","0"
