Email Campaign Report
"Title:","BEAM BLAST Eng/Earth Week 10 Winter '22"
"Subject Line:","The BEAM Blast: A Careers Newsletter, Winter, Week 10"
"Delivery Date/Time:","Sun, Mar 6, 2022 7:00 pm"

"Overall Stats"
"Total Recipients:","3,475"
"Successful Deliveries:","3,473"
"Bounces:","2 (0.1%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","1,640 (47.2%)"
"Total Opens:","2,462"
"Last Open Date:","4/17/22 3:26PM"
"Recipients Who Clicked:","87 (2.5%)"
"Total Clicks:","176"
"Last Click Date:","4/13/22 9:57AM"
"Total Unsubs:","2"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://stanford.joinhandshake.com/articles/15352","29","23"
"https://beam.stanford.edu/resources/flex-quarter-opportunities","24","21"
"https://stanford.joinhandshake.com/edu/career_fairs/30893?ref=events-search","16","14"
"https://www.interstride.com/stanford-university/","15","9"
"https://stanford.joinhandshake.com/stu/events/975882?ref=events-search","12","10"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&query=%22Product%20management%22&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job_type_names%5B%5D=Job&job_type_names%5B%5D=Internship&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","8","8"
"https://stanford.joinhandshake.com/stu/events/985230?ref=events-search","7","6"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1056&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","7","7"
"https://stanford.joinhandshake.com/stu/events/962100?ref=events-search","6","6"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1050&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","6","4"
