Email Campaign Report
"Title:","BEAM BLAST Eng/Earth Week 2 Winter '22"
"Subject Line:","The BEAM Blast: A Careers Newsletter, Winter, Week 2"
"Delivery Date/Time:","Sun, Jan 9, 2022 7:00 pm"

"Overall Stats"
"Total Recipients:","5,822"
"Successful Deliveries:","5,813"
"Bounces:","9 (0.2%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","2,009 (34.6%)"
"Total Opens:","3,167"
"Last Open Date:","4/13/22 1:02PM"
"Recipients Who Clicked:","102 (1.8%)"
"Total Clicks:","199"
"Last Click Date:","2/18/22 9:44PM"
"Total Unsubs:","7"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://stanford.joinhandshake.com/articles/606","44","36"
"https://stanford.joinhandshake.com/events/915283","21","17"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1021&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","18","14"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&query=%22Product%20management%22&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job_type_names%5B%5D=Job&job_type_names%5B%5D=Internship&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=5&school_years%5B%5D=2","15","12"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1062&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","11","10"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1065&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","10","8"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1050&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","9","7"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job_type_names%5B%5D=On%20Campus%20Student%20Employment&school_years%5B%5D=2&school_years%5B%5D=3&school_years%5B%5D=4&school_years%5B%5D=5","8","6"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1035&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","7","7"
"https://stanford.joinhandshake.com/postings?page=1&per_page=25&sort_direction=asc&sort_column=default&status%5B%5D=approved&ajax=true&query=%22project%20management%22&category=UniversityPostings&followed_only=false&core_schools_only=false&including_all_facets_in_searches=true&job_type_names%5B%5D=Job&job_type_names%5B%5D=Internship&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=3&school_years%5B%5D=2&school_years%5B%5D=5","6","5"
"https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=PWR91OID&collapse=","5","4"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1034&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","5","5"
"https://beam.stanford.edu/resources/flex-quarter-opportunities","5","5"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1056&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","5","4"
"https://beam.stanford.edu/make-an-appointment","4","4"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1066&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","4","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=%22environmental+sciences%22&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job_type_names%5B%5D=Job&job_type_names%5B%5D=Internship&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4","4","4"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=882&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","3","3"
"https://stanford.joinhandshake.com/edu/events/906628","3","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=%22environmental+policy%22&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job_type_names%5B%5D=Job&job_type_names%5B%5D=Internship&job_type_names%5B%5D=Fellowship&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=3&school_years%5B%5D=2","3","3"
"https://beam.stanford.edu","2","2"
"https://beam.stanford.edu/school-engineering-school-earth-team-resources","2","2"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=899&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","1","1"
"http://beam.stanford.edu","1","1"
"https://stanford.joinhandshake.com/postings","1","1"
"https://drive.google.com/file/d/1RT0FMY2yXKR_nfxZ0ko_czJNBo2pGCAB/view?usp=sharing","1","1"
"https://docs.google.com/forms/d/e/1FAIpQLSefqklG2s1BmURhdM0HTtFr4GO1iHCjmog5bU1hYqIAxkgMzQ/viewform","1","1"
"https://stanford.joinhandshake.com/events?page=1&per_page=25&sort_direction=desc&sort_column=relevancy&is_posted_by_my_school=true&start_date=2021-09-28&end_date=2021-09-30","0","0"
"https://drive.google.com/file/d/1lGXrzXE9DjQ8mV-kiUEwOaoHxGknvFgg/view?usp=sharing","0","0"
"https://beam.stanford.edu/catalysts","0","0"
"https://beam.stanford.edu/","0","0"
"https://stanford.us1.list-manage.com/subscribe?u=a77525a849b0888cf8d90460f&id=e34a4b97db","0","0"
"https://stanford.zoom.us/j/94804099442?pwd=NzZBQmtjcXF1QkVxMjZscnpFSmMyZz09","0","0"
"https://twitter.com/stanfordbeam/","0","0"
"https://www.facebook.com/StanfordBEAM/","0","0"
"https://www.instagram.com/stanfordbeam/","0","0"
"https://www.linkedin.com/company/stanfordbeam/","0","0"
