Email Campaign Report
"Title:","BEAM BLAST Eng/Earth Week 6 Winter '22"
"Subject Line:","The BEAM Blast: A Careers Newsletter, Winter, Week 6"
"Delivery Date/Time:","Sun, Feb 6, 2022 7:00 pm"

"Overall Stats"
"Total Recipients:","5,733"
"Successful Deliveries:","5,716"
"Bounces:","17 (0.3%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","2,112 (36.9%)"
"Total Opens:","3,154"
"Last Open Date:","4/11/22 3:48PM"
"Recipients Who Clicked:","82 (1.4%)"
"Total Clicks:","110"
"Last Click Date:","4/11/22 3:48PM"
"Total Unsubs:","6"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://app.joinhandshake.com/stu/career_fairs/28667?ref=events-search#details","31","27"
"https://beam.stanford.edu/beamfellows","8","6"
"https://online.flippingbook.com/view/752333437/32/","7","7"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1062&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","6","4"
"http://beam.stanford.edu/beamfellows","5","5"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1034&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","5","3"
"https://sgs.stanford.edu/global-internships/internships","4","4"
"https://stanford.joinhandshake.com/stu/events/912826","3","3"
"https://beam.stanford.edu","3","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1035&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","3","3"
"https://stanford.joinhandshake.com/postings?ajax=true&query=&category=UniversityPostings&page=1&per_page=25&sort_direction=asc&sort_column=default&followed_only=false&qualified_only=&core_schools_only=false&including_all_facets_in_searches=true&job.industries%5B%5D=1021&school_years%5B%5D=4&school_years%5B%5D=5&school_years%5B%5D=2&school_years%5B%5D=3&status%5B%5D=approved","3","2"
